,,,,,,,,,,,,,,
,,税抜,,,,,,,,,,,,
,,※前提として葬儀は市の斎場,,,,,葬儀,,,,,火葬のみ,,
,,,,,,,2日葬,1日葬,こっそり家族葬,お別れ自宅葬,,直葬のみ,面会火葬式,お別れ火葬式
,,,,基本プラン,,基本料金にまとめるので一旦ブランク→," 700,000 "," 500,000 "," 350,000 ","¥400,000",," 150,000 ","¥250,000","¥350,000"
,,,,,,,"2日、1日葬の違い
・運営人件費
・料理
・お布施
・会館使用料",,,,,,,
,,項目,詳細,ランク,原価,オプション(販売)金額,,,,,,LS安置場→火葬場,,
,,搬送料金（最長20ｋｍ）,（出発地点～安置場所）（安置場所～火葬場）,,,,,,,,,●,,
,,,"[サイズ]約Ｗ4,500　50名以上推奨
式場全体を彩る圧倒的な華やかさ
集まりいただいた皆様の記憶に残る、非常に手厚いお見送り",FO-18," 260,000 ","1日、2日両方ともランクアップは500,000円"," 500,000 "," 500,000 "," 100,000 ",,,,,
,,,"[サイズ]約Ｗ4,500 ",BC-21," 250,000 ","1日、2日両方ともランクアップは500,000円"," 500,000 "," 500,000 "," 100,000 ",,,,,
,,,"[サイズ]約Ｗ4,500",BC-22," 250,000 ","1日、2日両方ともランクアップは500,000円"," 500,000 "," 500,000 "," 100,000 ",,,,,
,,,"[サイズ]約Ｗ4,500",BC-23," 250,000 ","1日、2日両方ともランクアップは500,000円"," 500,000 "," 500,000 "," 100,000 ",,,,,
,,,"[サイズ]約Ｗ4,500",BC-24," 250,000 ","1日、2日両方ともランクアップは500,000円"," 500,000 "," 500,000 "," 100,000 ",,,,,
,,,"[サイズ]約Ｗ4,500",FO-19," 360,000 ","1日、2日両方ともランクアップは700,000円"," 700,000 "," 700,000 "," 100,000 ",,,,,
,,祭壇前装飾生け花,,," 30,000 ",,,,●,●,,,,
,,供花,会社関係や親族が出すもの　/ 祭壇との組み合わせなので基本オプション,YW-3," 9,000 "," 18,000 "," 18,000 "," 18,000 "," 18,000 "," 18,000 ",,,," 18,000 "
,,,,YW-2," 12,000 "," 24,000 "," 24,000 "," 24,000 "," 24,000 "," 24,000 ",,,," 24,000 "
,,,,YW-1," 18,000 "," 36,000 "," 36,000 "," 36,000 "," 36,000 "," 36,000 ",,,," 36,000 "
,,遺影写真,カラー額　四つ切サイズ＋手札サイズ,," 2,300 ",,●,●,●,●,,オプション,オプション,●
,,,カラー額　四つ切サイズ＋手札サイズ＋リボン,," 2,680 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 ",," 1,000 "," 1,000 "," 1,000 "
,,,⾃⽴式スリム写真額 (四つ切)+手札サイズ,," 2,900 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 ",," 2,000 "," 2,000 "," 2,000 "
,,白木位牌,一般的な物となります,,,,●,●,●,●,,,,●
,,受付セット,受付に必要なセット一式,,,,●,●,,,,,,
,,会葬礼状,オリジナル会葬礼状３０枚,,,,●,●,,,,,,
,,お別れ用お盆花,お棺の中にお入れする生花(祭壇無しの場合は用意),," 3,000 ",,,,,,,,,●
,,,,数量単位," 3,000 ","お盆１つ追加で20,000円UP",,,,,," 20,000 "," 20,000 "," 20,000 "
,,お別れ用花束,火葬場にお持ちする花束,," 2,000 ",,●,●,●,●,,●,●,●
,,骨壷・骨箱,白壷,基本プラン," 2,500 ",,●,●,●,●,,●,●,●
,,,,,," 30,000 ",オプション,オプション,オプション,オプション,,オプション,オプション,オプション
,,,,,," 30,000 ",オプション,オプション,オプション,オプション,,オプション,オプション,オプション
,,,,,," 30,000 ",オプション,オプション,オプション,オプション,,オプション,オプション,オプション
,,,,,," 30,000 ",オプション,オプション,オプション,オプション,,オプション,オプション,オプション
,,,,,," 30,000 ",オプション,オプション,オプション,オプション,,オプション,オプション,オプション
,,,,,," 30,000 ",オプション,オプション,オプション,オプション,,オプション,オプション,オプション
,,,,,," 30,000 ",オプション,オプション,オプション,オプション,,オプション,オプション,オプション
,,後飾り祭壇,骨壺をお飾りする仮祭壇・線香・ろうそく・焼香セット,," 3,480 ",,●,●,●,●,,,●,●
,,案内看板,祭壇横などに飾る,,,,●,●,,,,,,
,,司会進行・運営スタッフ,お葬式の司会・運営のサポートをいたします。,,,,●,●,●,●,,●,●,●
,,,,,,,,,,,,,,
,,火葬料金,,,,,●,●,●,●,,●,●,●
,,控室料金,,,,,●,●,●,●,,,,●
,,斎場料金,,,,,●,●,●,●,,,,●
,, ,,,,,,,,,,,,
,,会葬御礼品,,,,,親族ヒアリング,親族ヒアリング,親族ヒアリング,,,,,
,,香典返し,,,,,親族ヒアリング,親族ヒアリング,親族ヒアリング,,,,,
,,供花,,,,,親族ヒアリング,親族ヒアリング,親族ヒアリング,,,,,
,,料理,,,,,親族ヒアリング,親族ヒアリング,親族ヒアリング,,,,,
